Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"Aleasing financiranje, svetovanje, trženje d.o.o.","Aleasing financiranje, svetovanje, trženje d.o.o.",,"Dunajska cesta 167, 1000 Ljubljana",", Aleasing financiranje, svetovanje, trženje d.o.o."
"MEDICINSKI CENTER KRKA, d.o.o.","MEDICINSKI CENTER KRKA, d.o.o.",,"Šmarješka cesta 4, 8000 Novo mesto",", MEDICINSKI CENTER KRKA, d.o.o."
"ZAG STUDIO, stomatologija in založništvo, d.o.o.","ZAG STUDIO, stomatologija in založništvo, d.o.o.",,"Cesta zmage 1, 1410 Zagorje ob Savi",", ZAG STUDIO, stomatologija in založništvo, d.o.o."
"AVTOTEHNA VIS IN MAHKOVIC trgovska družba za prodajo in servisiranje vozil, d.o.o.","AVTOTEHNA VIS IN MAHKOVIC trgovska družba za prodajo in servisiranje vozil, d.o.o.",,"Spodnji Log 27, 1282 Sava",", AVTOTEHNA VIS IN MAHKOVIC trgovska družba za prodajo in servisiranje vozil, d.o.o."
IDRIJSKO-CERKLJANSKA RAZVOJNA AGENCIJA d.o.o. Idrija,IDRIJSKO-CERKLJANSKA RAZVOJNA AGENCIJA d.o.o. Idrija,,"Mestni trg 1, 5280 Idrija",", IDRIJSKO-CERKLJANSKA RAZVOJNA AGENCIJA d.o.o. Idrija"
"Razvojni center Srca Slovenije, d.o.o.","Razvojni center Srca Slovenije, d.o.o.",,"Kidričeva cesta 1, 1270 Litija",", Razvojni center Srca Slovenije, d.o.o."
"MEDICINA DELA, PROMETA IN ŠPORTA opravljanje zdravstvenih in drugih storitev, d.o.o.","MEDICINA DELA, PROMETA IN ŠPORTA opravljanje zdravstvenih in drugih storitev, d.o.o.",,"Cesta zmage 1, 1410 Zagorje ob Savi",", MEDICINA DELA, PROMETA IN ŠPORTA opravljanje zdravstvenih in drugih storitev, d.o.o."
RAZVOJNA AGENCIJA SORA d.o.o.,RAZVOJNA AGENCIJA SORA d.o.o.,,"Poljanska cesta 2, 4220 Škofja Loka",", RAZVOJNA AGENCIJA SORA d.o.o."
ELPROM Proizvodnja električne energije iz obnovljivih virov d.o.o.,ELPROM Proizvodnja električne energije iz obnovljivih virov d.o.o.,,"Erjavčeva ulica 20, 5000 Nova Gorica",", ELPROM Proizvodnja električne energije iz obnovljivih virov d.o.o."
PUNGRAD javno komunalno podjetje d.o.o.,PUNGRAD javno komunalno podjetje d.o.o.,,"Bodonci 127 A, 9265 Bodonci",", PUNGRAD javno komunalno podjetje d.o.o."
"CSS, proizvodnja in trgovina, d.o.o.","CSS, proizvodnja in trgovina, d.o.o.",,"Stara Loka 31, 4220 Škofja Loka",", CSS, proizvodnja in trgovina, d.o.o."
