Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
LOVSKA DRUŽINA TABOR SEŽANA,LOVSKA DRUŽINA TABOR SEŽANA,,"Partizanska cesta 29, 6210 Sežana",", LOVSKA DRUŽINA TABOR SEŽANA"
LOVSKA DRUŽINA ŠENČUR,LOVSKA DRUŽINA ŠENČUR,,"Hrastje 52 L, 4000 Kranj",", LOVSKA DRUŽINA ŠENČUR"
LOVSKA DRUŽINA BLED,LOVSKA DRUŽINA BLED,,"Grajska cesta 59, 4260 Bled",", LOVSKA DRUŽINA BLED"
LOVSKA DRUŽINA MORAVCI,LOVSKA DRUŽINA MORAVCI,,"Dolga ulica 160, 9226 Moravske Toplice",", LOVSKA DRUŽINA MORAVCI"
Lovska družina Lenart,Lovska družina Lenart,,"Spodnji Porčič 22, 2230 Lenart v Slov. goricah",", Lovska družina Lenart"
LOVSKA DRUŽINA PODGORJE PRI SLOVENJ GRADCU,LOVSKA DRUŽINA PODGORJE PRI SLOVENJ GRADCU,,"Podgorje 139, 2381 Podgorje pri Slovenj Gradcu",", LOVSKA DRUŽINA PODGORJE PRI SLOVENJ GRADCU"
"LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka","LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka",,"Kidričeva cesta 43 A, 4220 Škofja Loka",", LOŠKA KOMUNALA, oskrba z vodo in plinom, d.d., Škofja Loka"
LOVSKA DRUŽINA KROPA,LOVSKA DRUŽINA KROPA,,"Podnart 27, 4244 Podnart",", LOVSKA DRUŽINA KROPA"
LOVSKA DRUŽINA BOHINJSKA BISTRICA,LOVSKA DRUŽINA BOHINJSKA BISTRICA,,"Grajska ulica 10, 4264 Bohinjska Bistrica",", LOVSKA DRUŽINA BOHINJSKA BISTRICA"
RIBIŠKA DRUŽINA RADOVLJICA,RIBIŠKA DRUŽINA RADOVLJICA,,"Lancovo 7 A, 4240 Radovljica",", RIBIŠKA DRUŽINA RADOVLJICA"
Ribiška družina MURA PALOMA,Ribiška družina MURA PALOMA,,"Vranji Vrh 88, 2214 Sladki vrh",", Ribiška družina MURA PALOMA"
LOVSKA DRUŽINA PADEŽ,LOVSKA DRUŽINA PADEŽ,,"Birčna vas 52, 8000 Novo mesto",", LOVSKA DRUŽINA PADEŽ"
JAMARSKI KLUB KAMNIK,JAMARSKI KLUB KAMNIK,,"Žebljarska pot 2, 1241 Kamnik",", JAMARSKI KLUB KAMNIK"
LOVSKA DRUŽINA PREŽIHOVO,LOVSKA DRUŽINA PREŽIHOVO,,"Podgora 44, 2394 Kotlje",", LOVSKA DRUŽINA PREŽIHOVO"
LOVSKA DRUŽINA PODVELKA,LOVSKA DRUŽINA PODVELKA,,"Rdeči Breg - del 49, 2363 Podvelka",", LOVSKA DRUŽINA PODVELKA"
RIBIŠKA DRUŽINA MURSKA SOBOTA,RIBIŠKA DRUŽINA MURSKA SOBOTA,,"Bakovska ulica 37, 9000 Murska Sobota",", RIBIŠKA DRUŽINA MURSKA SOBOTA"
Lovska družina Kungota,Lovska družina Kungota,,"Spodnje Vrtiče 1 D, 2201 Zgornja Kungota",", Lovska družina Kungota"
Lovska družina Makole,Lovska družina Makole,,"Štatenberg 90, 2321 Makole",", Lovska družina Makole"
LOVSKA DRUŽINA GOLAVABUKA,LOVSKA DRUŽINA GOLAVABUKA,,"Golavabuka 47 B, 2383 Šmartno pri Slovenj Gradcu",", LOVSKA DRUŽINA GOLAVABUKA"
